ID,ELEMENT_NAME,ctlvalue,initCond1,returnCond1,returnCondTO
:R:A:BAS:STA1:dioBAS-HOSTAT:dovBAS-CTLVAL4,dov_type,4,,,
:R:A:BAS:STA1:dioBAS-HOSTAT:dovBAS-CTLVAL5,dov_type,5,,,
:R:A:BAS:STA1:dioBAS-HOSTAT:dovBAS-CTLVAL6,dov_type,6,,,
:R:A:BAS:STA1:dioBAS-HOSTAT:dovBAS-CTLVAL7,dov_type,7,,,
:R:A:BAS:STA2:dioBAS-HOSTAT:dovBAS-CTLVAL0,dov_type,0,,,
:R:A:BAS:STA2:dioBAS-HOSTAT:dovBAS-CTLVAL1,dov_type,1,,,
:R:A:BAS:STA2:dioBAS-HOSTAT:dovBAS-CTLVAL2,dov_type,2,,,
:R:A:BAS:STA2:dioBAS-HOSTAT:dovBAS-CTLVAL3,dov_type,3,,,
:R:A:BAS:STA2:dioBAS-HOSTAT:dovBAS-CTLVAL4,dov_type,4,,,
:R:A:BAS:STA2:dioBAS-HOSTAT:dovBAS-CTLVAL5,dov_type,5,,,
:R:A:BAS:STA2:dioBAS-HOSTAT:dovBAS-CTLVAL6,dov_type,6,,,
:R:A:BAS:STA2:dioBAS-HOSTAT:dovBAS-CTLVAL7,dov_type,7,,,
:R:A:BAS:STA3:dioBAS-HOSTAT:dovBAS-CTLVAL0,dov_type,0,,,
:R:A:BAS:STA3:dioBAS-HOSTAT:dovBAS-CTLVAL1,dov_type,1,,,
:R:A:BAS:STA3:dioBAS-HOSTAT:dovBAS-CTLVAL2,dov_type,2,,,
:R:A:BAS:STA3:dioBAS-HOSTAT:dovBAS-CTLVAL3,dov_type,3,,,
:R:A:BAS:STA3:dioBAS-HOSTAT:dovBAS-CTLVAL4,dov_type,4,,,
:R:A:BAS:STA3:dioBAS-HOSTAT:dovBAS-CTLVAL5,dov_type,5,,,
:R:A:BAS:STA3:dioBAS-HOSTAT:dovBAS-CTLVAL6,dov_type,6,,,
:R:A:BAS:STA3:dioBAS-HOSTAT:dovBAS-CTLVAL7,dov_type,7,,,
:R:A:BAS:STA4:dioBAS-HOSTAT:dovBAS-CTLVAL0,dov_type,0,,,
:R:A:BAS:STA4:dioBAS-HOSTAT:dovBAS-CTLVAL1,dov_type,1,,,
:R:A:BAS:STA4:dioBAS-HOSTAT:dovBAS-CTLVAL2,dov_type,2,,,
:R:A:BAS:STA4:dioBAS-HOSTAT:dovBAS-CTLVAL3,dov_type,3,,,
:R:A:BAS:STA4:dioBAS-HOSTAT:dovBAS-CTLVAL4,dov_type,4,,,
:R:A:BAS:STA4:dioBAS-HOSTAT:dovBAS-CTLVAL5,dov_type,5,,,
:R:A:BAS:STA4:dioBAS-HOSTAT:dovBAS-CTLVAL6,dov_type,6,,,
:R:A:BAS:STA4:dioBAS-HOSTAT:dovBAS-CTLVAL7,dov_type,7,,,
:R:A:BAS:STA5:dioBAS-HOSTAT:dovBAS-CTLVAL0,dov_type,0,,,
:R:A:BAS:STA5:dioBAS-HOSTAT:dovBAS-CTLVAL1,dov_type,1,,,
:R:A:BAS:STA5:dioBAS-HOSTAT:dovBAS-CTLVAL2,dov_type,2,,,
:R:A:BAS:STA5:dioBAS-HOSTAT:dovBAS-CTLVAL3,dov_type,3,,,
:R:A:BAS:STA5:dioBAS-HOSTAT:dovBAS-CTLVAL4,dov_type,4,,,
:R:A:BAS:STA5:dioBAS-HOSTAT:dovBAS-CTLVAL5,dov_type,5,,,
:R:A:BAS:STA5:dioBAS-HOSTAT:dovBAS-CTLVAL6,dov_type,6,,,
:R:A:BAS:STA5:dioBAS-HOSTAT:dovBAS-CTLVAL7,dov_type,7,,,
