ID,ELEMENT_NAME,ackAutomaton,valueAutomaton,theme
:R:A:BAS:SJSB:dciBAS-MANAUTO:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:SJSB:dciBAS-LOCAL:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:SJSB:dciBAS-REMOTE:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:SJSB:dciBAS-RUNSTOP1:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:SJSB:dciBAS-FLTALM1:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:SJSB:dciBAS-RUNSTOP2:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:SJSB:dciBAS-FLTALM2:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:SJSB:dciBAS-UHLALM:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:SJSB:dciBAS-DWPUMP:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:SJSB:dciBAS-SIGPUMP:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:SJSB:dciBAS-STPPUMP:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:SJSB:dciBAS-LLALM:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:SJSB:dciBAS-MPRTFLT1:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:SJSB:dciBAS-MPRTFLT2:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:SJSB:dciBAS-MPRUNSG:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:SJSB:dciBAS-BPRUNSG:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:SJSB:dciBAS-ULFLT:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:SJSB:dciBAS-SYSGS:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:SJSB:aciBAS-LEVSTA:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:SJSB:aciBAS-RUNTIME1:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:SJSB:aciBAS-RUMTIME2:aal,aal_type,Ack,AIBasic2StateHisterisis,0
