ID,v0,v1,v2,v3,v4,v5,v6,v7
:R:A:BAS:HPFD:dioBAS-FQSTOP:V_valueTable_value,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dioBAS-MANAUTO:V_valueTable_dovname,dovBAS-CTLVAL0,dovBAS-CTLVAL1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dioBAS-MANAUTO:V_valueTable_label,&DB_ZIDO2,&DB_SHOU2,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dioBAS-MANAUTO:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dioBAS-START:V_valueTable_dovname,dovBAS-CTLVAL1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dioBAS-START:V_valueTable_label,&DB_QIDO2,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dioBAS-START:V_valueTable_value,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dioBAS-STOP:V_valueTable_dovname,dovBAS-CTLVAL1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dioBAS-STOP:V_valueTable_label,&DB_TING1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dioBAS-STOP:V_valueTable_value,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dioBAS-FQSTART:V_valueTable_dovname,dovBAS-CTLVAL1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dioBAS-FQSTART:V_valueTable_label,&DB_QIDO2,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dioBAS-FQSTART:V_valueTable_value,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dioBAS-FQSTOP:V_valueTable_dovname,dovBAS-CTLVAL1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dioBAS-FQSTOP:V_valueTable_label,&DB_TING1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:AHUD:dioBAS-FQSTOP:V_valueTable_value,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:LDB_:dioBAS-MANAUTO:V_valueTable_dovname,dovBAS-CTLVAL0,dovBAS-CTLVAL1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:LDB_:dioBAS-MANAUTO:V_valueTable_label,&DB_ZIDO2,&DB_SHOU2,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:LDB_:dioBAS-MANAUTO:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:LDB_:dioBAS-START:V_valueTable_dovname,dovBAS-CTLVAL1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:LDB_:dioBAS-START:V_valueTable_label,&DB_QIDO2,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:LDB_:dioBAS-START:V_valueTable_value,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
