ID,lk0
:R:A:QHB:PSCADA:ZSCD0007:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:ZSCD0008:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:ZSCD0009:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:ZSCD0010:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:ZSCD0011:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:ZSCD0012:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:ZSCD0013:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:ZSCD0014:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:ZSCD0015:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:ZSCD0016:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:ZSCD0017:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:ZSCD0018:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:ZSCD0019:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:ZSCD0020:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:ZSCD0021:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:ZSCD0022:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:ZSCD0023:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:ZSCD0024:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:ZSCD0025:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:ZSCD0026:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:ZSJC0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:DJLP0001:link_fct_cat,:R:A:Opm:Definition:Function:POW
:R:A:QHB:PSCADA:DZLP0001:link_fct_cat,:R:A:Opm:Definition:Function:POW
:R:A:QHB:PSCADA:TXZT0001:link_fct_cat,:R:A:Opm:Definition:Function:POW
:R:A:QHB:PSCADA:KZQX0001:link_fct_cat,:R:A:Opm:Definition:Function:POW
:R:A:QHB:PSCADA:CPQH0001:link_fct_cat,:R:A:Opm:Definition:Function:POW
:R:A:QHB:PSCADA:LVIA0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-400
:R:A:QHB:PSCADA:LVSC0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-400
:R:A:QHB:PSCADA:LVIA0002:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-400
:R:A:QHB:PSCADA:LVSC0002:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-400
:R:A:QHB:PSCADA:LVCA0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-400
:R:A:QHB:PSCADA:LVSC0003:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-400
:R:A:QHB:PSCADA:YYLB0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-400
:R:A:QHB:PSCADA:YYLB0002:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-400
