ID,__AGGREGATE__,label,link_object_is_from_object_type,ELEMENT_NAME,lk0,lk1,shortLabel,EqtLocation
:R:A:ZXN:FAS:SRMK0260,FAS_SRMK,&DB_FMS70706,basicEquipment:FAS_SRMK,basicEquipment,,,&DB_SHURUMOKUAI,&DB_ZHANTAICENGADUANRUODIANJINGQUYUFMS707MOKUAIXIANG
:R:A:ZXN:FAS:QMYG0023,FAS_QMYG,&DB_L8D001,basicEquipment:FAS_QMYG,basicEquipment,,,&DB_QIMIEQUYANGAN,&DB_PINGBIMENKONGZHISHI
:R:A:ZXN:FAS:QMWG0032,FAS_QMWG,&DB_L8D002,basicEquipment:FAS_QMWG,basicEquipment,,,&DB_QIMIEQUWENGAN,&DB_PINGBIMENKONGZHISHI
:R:A:ZXN:FAS:QMWG0033,FAS_QMWG,&DB_L8D003,basicEquipment:FAS_QMWG,basicEquipment,,,&DB_QIMIEQUWENGAN,&DB_PINGBIMENKONGZHISHI
:R:A:ZXN:FAS:QMYG0024,FAS_QMYG,&DB_L8D004,basicEquipment:FAS_QMYG,basicEquipment,,,&DB_QIMIEQUYANGAN,&DB_PINGBIMENKONGZHISHI
:R:A:ZXN:FAS:QMYG0025,FAS_QMYG,&DB_L8D005,basicEquipment:FAS_QMYG,basicEquipment,,,&DB_QIMIEQUYANGAN,&DB_KONGZHISHI
:R:A:ZXN:FAS:QMWG0034,FAS_QMWG,&DB_L8D006,basicEquipment:FAS_QMWG,basicEquipment,,,&DB_QIMIEQUWENGAN,&DB_KONGZHISHI
:R:A:ZXN:FAS:QMYG0026,FAS_QMYG,&DB_L8D007,basicEquipment:FAS_QMYG,basicEquipment,,,&DB_QIMIEQUYANGAN,&DB_KONGZHISHI
:R:A:ZXN:FAS:QMWG0035,FAS_QMWG,&DB_L8D008,basicEquipment:FAS_QMWG,basicEquipment,,,&DB_QIMIEQUWENGAN,&DB_KONGZHISHI
:R:A:ZXN:FAS:QMYG0027,FAS_QMYG,&DB_L8D009,basicEquipment:FAS_QMYG,basicEquipment,,,&DB_QIMIEQUYANGAN,&DB_35KVKAIGUANGUI
:R:A:ZXN:FAS:QMWG0036,FAS_QMWG,&DB_L8D010,basicEquipment:FAS_QMWG,basicEquipment,,,&DB_QIMIEQUWENGAN,&DB_35KVKAIGUANGUI
:R:A:ZXN:FAS:QMWG0037,FAS_QMWG,&DB_L8D011,basicEquipment:FAS_QMWG,basicEquipment,,,&DB_QIMIEQUWENGAN,&DB_35KVKAIGUANGUI
:R:A:ZXN:FAS:QMYG0028,FAS_QMYG,&DB_L8D012,basicEquipment:FAS_QMYG,basicEquipment,,,&DB_QIMIEQUYANGAN,&DB_35KVKAIGUANGUI
:R:A:ZXN:FAS:QMWG0038,FAS_QMWG,&DB_L8D013,basicEquipment:FAS_QMWG,basicEquipment,,,&DB_QIMIEQUWENGAN,&DB_35KVKAIGUANGUI
:R:A:ZXN:FAS:QMWG0039,FAS_QMWG,&DB_L8D014,basicEquipment:FAS_QMWG,basicEquipment,,,&DB_QIMIEQUWENGAN,&DB_04KVKAIGUANGUI
:R:A:ZXN:FAS:QMYG0029,FAS_QMYG,&DB_L8D015,basicEquipment:FAS_QMYG,basicEquipment,,,&DB_QIMIEQUYANGAN,&DB_04KVKAIGUANGUI
:R:A:ZXN:FAS:QMWG0040,FAS_QMWG,&DB_L8D016,basicEquipment:FAS_QMWG,basicEquipment,,,&DB_QIMIEQUWENGAN,&DB_04KVKAIGUANGUI
:R:A:ZXN:FAS:QMWG0041,FAS_QMWG,&DB_L8D017,basicEquipment:FAS_QMWG,basicEquipment,,,&DB_QIMIEQUWENGAN,&DB_04KVKAIGUANGUI
:R:A:ZXN:FAS:QMWG0042,FAS_QMWG,&DB_L8D018,basicEquipment:FAS_QMWG,basicEquipment,,,&DB_QIMIEQUWENGAN,&DB_04KVKAIGUANGUI
:R:A:ZXN:FAS:QMYG0030,FAS_QMYG,&DB_L8D019,basicEquipment:FAS_QMYG,basicEquipment,,,&DB_QIMIEQUYANGAN,&DB_04KVKAIGUANGUI
:R:A:ZXN:FAS:QMWG0043,FAS_QMWG,&DB_L8D020,basicEquipment:FAS_QMWG,basicEquipment,,,&DB_QIMIEQUWENGAN,&DB_04KVKAIGUANGUI
:R:A:ZXN:FAS:QMWG0044,FAS_QMWG,&DB_L8D021,basicEquipment:FAS_QMWG,basicEquipment,,,&DB_QIMIEQUWENGAN,&DB_04KVKAIGUANGUI
:R:A:ZXN:FAS:QMWG0045,FAS_QMWG,&DB_L8D022,basicEquipment:FAS_QMWG,basicEquipment,,,&DB_QIMIEQUWENGAN,&DB_35KVKAIGUANGUI
:R:A:ZXN:FAS:QMYG0031,FAS_QMYG,&DB_L8D023,basicEquipment:FAS_QMYG,basicEquipment,,,&DB_QIMIEQUYANGAN,&DB_04KVKAIGUANGUI
:R:A:ZXN:FAS:QMWG0046,FAS_QMWG,&DB_L8D024,basicEquipment:FAS_QMWG,basicEquipment,,,&DB_QIMIEQUWENGAN,&DB_04KVKAIGUANGUI
:R:A:ZXN:FAS:QMYG0032,FAS_QMYG,&DB_L8D025,basicEquipment:FAS_QMYG,basicEquipment,,,&DB_QIMIEQUYANGAN,&DB_35KVKAIGUANGUI
:R:A:ZXN:FAS:QMWG0047,FAS_QMWG,&DB_L8D026,basicEquipment:FAS_QMWG,basicEquipment,,,&DB_QIMIEQUWENGAN,&DB_35KVKAIGUANGUI
:R:A:ZXN:FAS:QMWG0048,FAS_QMWG,&DB_L8D027,basicEquipment:FAS_QMWG,basicEquipment,,,&DB_QIMIEQUWENGAN,&DB_KONGZHISHI
:R:A:ZXN:FAS:DFHF0025,FAS_DFHF,&DB_SFDA305,basicEquipment:FAS_DFHF,basicEquipment,,,&DB_DIANDONGFANGHUOFA,&DB_ZHANTAICENGZUODUAN04KVKAIGUANGUISHI
:R:A:ZXN:FAS:SCMK0076,FAS_SCMK,&DB_FMS80101,basicEquipment:FAS_SCMK,basicEquipment,,,&DB_SHUCHUMOKUAI,&DB_ZHANTAICENGZUODUAN04KVKAIGUANGUISHIFMS801MOKUAIXIANG
:R:A:ZXN:FAS:SRMK0261,FAS_SRMK,&DB_FMS80102,basicEquipment:FAS_SRMK,basicEquipment,,,&DB_SHURUMOKUAI,&DB_ZHANTAICENGZUODUAN04KVKAIGUANGUISHIFMS801MOKUAIXIANG
:R:A:ZXN:FAS:DFHF0026,FAS_DFHF,&DB_SFDA304,basicEquipment:FAS_DFHF,basicEquipment,,,&DB_DIANDONGFANGHUOFA,&DB_ZHANTAICENGZUODUAN35KVKAIGUANGUISHI
:R:A:ZXN:FAS:SCMK0077,FAS_SCMK,&DB_FMS80103,basicEquipment:FAS_SCMK,basicEquipment,,,&DB_SHUCHUMOKUAI,&DB_ZHANTAICENGZUODUAN35KVKAIGUANGUISHIFMS801MOKUAIXIANG
:R:A:ZXN:FAS:SRMK0262,FAS_SRMK,&DB_FMS80104,basicEquipment:FAS_SRMK,basicEquipment,,,&DB_SHURUMOKUAI,&DB_ZHANTAICENGZUODUAN35KVKAIGUANGUISHIFMS801MOKUAIXIANG
:R:A:ZXN:FAS:DFHF0027,FAS_DFHF,&DB_SFDA302,basicEquipment:FAS_DFHF,basicEquipment,,,&DB_DIANDONGFANGHUOFA,&DB_ZHANTAICENGZUODUAN35KVKAIGUANGUISHI
:R:A:ZXN:FAS:SCMK0078,FAS_SCMK,&DB_FMS80105,basicEquipment:FAS_SCMK,basicEquipment,,,&DB_SHUCHUMOKUAI,&DB_ZHANTAICENGZUODUAN35KVKAIGUANGUISHIFMS801MOKUAIXIANG
:R:A:ZXN:FAS:SRMK0263,FAS_SRMK,&DB_FMS80106,basicEquipment:FAS_SRMK,basicEquipment,,,&DB_SHURUMOKUAI,&DB_ZHANTAICENGZUODUAN35KVKAIGUANGUISHIFMS801MOKUAIXIANG
:R:A:ZXN:FAS:DFHF0028,FAS_DFHF,&DB_SFDA301,basicEquipment:FAS_DFHF,basicEquipment,,,&DB_DIANDONGFANGHUOFA,&DB_ZHANTAICENGZUODUAN35KVKAIGUANGUISHI
:R:A:ZXN:FAS:SCMK0079,FAS_SCMK,&DB_FMS80107,basicEquipment:FAS_SCMK,basicEquipment,,,&DB_SHUCHUMOKUAI,&DB_ZHANTAICENGZUODUAN35KVKAIGUANGUISHIFMS801MOKUAIXIANG
:R:A:ZXN:FAS:SRMK0264,FAS_SRMK,&DB_FMS80108,basicEquipment:FAS_SRMK,basicEquipment,,,&DB_SHURUMOKUAI,&DB_ZHANTAICENGZUODUAN35KVKAIGUANGUISHIFMS801MOKUAIXIANG
:R:A:ZXN:FAS:DFHF0029,FAS_DFHF,&DB_SFDA303,basicEquipment:FAS_DFHF,basicEquipment,,,&DB_DIANDONGFANGHUOFA,&DB_ZHANTAICENGZUODUAN35KVKAIGUANGUISHI
:R:A:ZXN:FAS:SCMK0080,FAS_SCMK,&DB_FMS80201,basicEquipment:FAS_SCMK,basicEquipment,,,&DB_SHUCHUMOKUAI,&DB_ZHANTAICENGZUODUAN35KVKAIGUANGUISHIFMS802MOKUAIXIANG
:R:A:ZXN:FAS:SRMK0265,FAS_SRMK,&DB_FMS80202,basicEquipment:FAS_SRMK,basicEquipment,,,&DB_SHURUMOKUAI,&DB_ZHANTAICENGZUODUAN35KVKAIGUANGUISHIFMS802MOKUAIXIANG
:R:A:ZXN:FAS:DFHF0030,FAS_DFHF,&DB_SFDA228,basicEquipment:FAS_DFHF,basicEquipment,,,&DB_DIANDONGFANGHUOFA,&DB_ZHANTAICENGZUODUANKONGZHISHI
