ZCIPOWHVNK0001,HVNK0001,1
afoPOW-CovACCur1_NKNB0001,afo,3
aacPOW-CovACCur1_NKNB0001,aac,3
aalPOW-CovACCur1_NKNB0001,aal,3
aciPOW-CovDCCur1_NKNB0001,aciPOW-CovDCCur1,2
afoPOW-CovDCCur1_NKNB0001,afo,3
aacPOW-CovDCCur1_NKNB0001,aac,3
aalPOW-CovDCCur1_NKNB0001,aal,3
aciPOW-CovTemp2_NKNB0001,aciPOW-CovTemp2,2
afoPOW-CovTemp2_NKNB0001,afo,3
aacPOW-CovTemp2_NKNB0001,aac,3
aalPOW-CovTemp2_NKNB0001,aal,3
aciPOW-CovACCur2_NKNB0001,aciPOW-CovACCur2,2
afoPOW-CovACCur2_NKNB0001,afo,3
aacPOW-CovACCur2_NKNB0001,aac,3
aalPOW-CovACCur2_NKNB0001,aal,3
aciPOW-CovDCCur2_NKNB0001,aciPOW-CovDCCur2,2
afoPOW-CovDCCur2_NKNB0001,afo,3
aacPOW-CovDCCur2_NKNB0001,aac,3
aalPOW-CovDCCur2_NKNB0001,aal,3
aciPOW-DCVolt_NKNB0001,aciPOW-DCVolt,2
afoPOW-DCVolt_NKNB0001,afo,3
aacPOW-DCVolt_NKNB0001,aac,3
aalPOW-DCVolt_NKNB0001,aal,3
aciPOW-DCCur_NKNB0001,aciPOW-DCCur,2
afoPOW-DCCur_NKNB0001,afo,3
aacPOW-DCCur_NKNB0001,aac,3
aalPOW-DCCur_NKNB0001,aal,3
dciPOW-EquSta1_NKNB0001,dciPOW-EquSta1,2
dfoPOW-EquSta1_NKNB0001,dfo,3
dacPOW-EquSta1_NKNB0001,dac,3
dalPOW-EquSta1_NKNB0001,dal,3
dciPOW-EquSta2_NKNB0001,dciPOW-EquSta2,2
dfoPOW-EquSta2_NKNB0001,dfo,3
dacPOW-EquSta2_NKNB0001,dac,3
dalPOW-EquSta2_NKNB0001,dal,3
dciPOW-EquSta3_NKNB0001,dciPOW-EquSta3,2
dfoPOW-EquSta3_NKNB0001,dfo,3
dacPOW-EquSta3_NKNB0001,dac,3
dalPOW-EquSta3_NKNB0001,dal,3
dciPOW-1QFSta_NKNB0001,dciPOW-1QFSta,2
dfoPOW-1QFSta_NKNB0001,dfo,3
dacPOW-1QFSta_NKNB0001,dac,3
dalPOW-1QFSta_NKNB0001,dal,3
dciPOW-2QFSta_NKNB0001,dciPOW-2QFSta,2
dfoPOW-2QFSta_NKNB0001,dfo,3
dacPOW-2QFSta_NKNB0001,dac,3
dalPOW-2QFSta_NKNB0001,dal,3
dciPOW-RemLcCtrl_NKNB0001,dciPOW-RemLcCtrl,2
dfoPOW-RemLcCtrl_NKNB0001,dfo,3
dacPOW-RemLcCtrl_NKNB0001,dac,3
dalPOW-RemLcCtrl_NKNB0001,dal,3
dciPOW-LocUrgStp_NKNB0001,dciPOW-LocUrgStp,2
dfoPOW-LocUrgStp_NKNB0001,dfo,3
dacPOW-LocUrgStp_NKNB0001,dac,3
dalPOW-LocUrgStp_NKNB0001,dal,3
dciPOW-CovFlt1_NKNB0001,dciPOW-CovFlt1,2
dfoPOW-CovFlt1_NKNB0001,dfo,3
dacPOW-CovFlt1_NKNB0001,dac,3
dalPOW-CovFlt1_NKNB0001,dal,3
dciPOW-CovOvrT1_NKNB0001,dciPOW-CovOvrT1,2
dfoPOW-CovOvrT1_NKNB0001,dfo,3
dacPOW-CovOvrT1_NKNB0001,dac,3
dalPOW-CovOvrT1_NKNB0001,dal,3
dciPOW-CovTmpOv1_NKNB0001,dciPOW-CovTmpOv1,2
dfoPOW-CovTmpOv1_NKNB0001,dfo,3
dacPOW-CovTmpOv1_NKNB0001,dac,3
dalPOW-CovTmpOv1_NKNB0001,dal,3
dciPOW-CovFlt2_NKNB0001,dciPOW-CovFlt2,2
dfoPOW-CovFlt2_NKNB0001,dfo,3
dacPOW-CovFlt2_NKNB0001,dac,3
dalPOW-CovFlt2_NKNB0001,dal,3
dciPOW-CovOvrT2_NKNB0001,dciPOW-CovOvrT2,2
dfoPOW-CovOvrT2_NKNB0001,dfo,3
dacPOW-CovOvrT2_NKNB0001,dac,3
dalPOW-CovOvrT2_NKNB0001,dal,3
dciPOW-CovTmpOv2_NKNB0001,dciPOW-CovTmpOv2,2
dfoPOW-CovTmpOv2_NKNB0001,dfo,3
dacPOW-CovTmpOv2_NKNB0001,dac,3
dalPOW-CovTmpOv2_NKNB0001,dal,3
dciPOW-Reserve15_NKNB0001,dciPOW-Reserve15,2
dfoPOW-Reserve15_NKNB0001,dfo,3
dacPOW-Reserve15_NKNB0001,dac,3
dalPOW-Reserve15_NKNB0001,dal,3
dciPOW-VoltrOvr_NKNB0001,dciPOW-VoltrOvr,2
dfoPOW-VoltrOvr_NKNB0001,dfo,3
dacPOW-VoltrOvr_NKNB0001,dac,3
dalPOW-VoltrOvr_NKNB0001,dal,3
dciPOW-CurOvr_NKNB0001,dciPOW-CurOvr,2
dfoPOW-CurOvr_NKNB0001,dfo,3
dacPOW-CurOvr_NKNB0001,dac,3
dalPOW-CurOvr_NKNB0001,dal,3
dciPOW-CovDoor_NKNB0001,dciPOW-CovDoor,2
dfoPOW-CovDoor_NKNB0001,dfo,3
dacPOW-CovDoor_NKNB0001,dac,3
dalPOW-CovDoor_NKNB0001,dal,3
dciPOW-TranTmp_NKNB0001,dciPOW-TranTmp,2
dfoPOW-TranTmp_NKNB0001,dfo,3
dacPOW-TranTmp_NKNB0001,dac,3
dalPOW-TranTmp_NKNB0001,dal,3
dciPOW-TranTmpOv_NKNB0001,dciPOW-TranTmpOv,2
dfoPOW-TranTmpOv_NKNB0001,dfo,3
dacPOW-TranTmpOv_NKNB0001,dac,3
dalPOW-TranTmpOv_NKNB0001,dal,3
dciPOW-TranDoor_NKNB0001,dciPOW-TranDoor,2
dfoPOW-TranDoor_NKNB0001,dfo,3
dacPOW-TranDoor_NKNB0001,dac,3
dalPOW-TranDoor_NKNB0001,dal,3
dciPOW-Reserve16_NKNB0001,dciPOW-Reserve16,2
dfoPOW-Reserve16_NKNB0001,dfo,3
dacPOW-Reserve16_NKNB0001,dac,3
dalPOW-Reserve16_NKNB0001,dal,3
dciPOW-80Sta_NKNB0001,dciPOW-80Sta,2
dfoPOW-80Sta_NKNB0001,dfo,3
