nom_instance,ID,ELEMENT_NAME,lk0,lk1
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_10:dciACS-TpAlrm:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_10TpAlrm,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_11:dciACS-GenAlmM:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_11GenAlmM,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_11:dciACS-GenAlm:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_11GenAlm,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_11:aciACS-RtTemp:aac:link_ve,aac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_11RtTemp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_11:aciACS-SpTemp:aac:link_ve,aac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_11SpTemp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_11:dciACS-EmStp:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_11EmStp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_11:dciACS-TpAlrm:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_11TpAlrm,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_12:dciACS-GenAlmM:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_12GenAlmM,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_12:dciACS-GenAlm:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_12GenAlm,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_12:aciACS-RtTemp:aac:link_ve,aac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_12RtTemp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_12:aciACS-SpTemp:aac:link_ve,aac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_12SpTemp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_12:dciACS-EmStp:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_12EmStp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_12:dciACS-TpAlrm:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_12TpAlrm,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_13:dciACS-GenAlmM:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_13GenAlmM,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_13:dciACS-GenAlm:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_13GenAlm,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_13:aciACS-RtTemp:aac:link_ve,aac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_13RtTemp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_13:aciACS-SpTemp:aac:link_ve,aac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_13SpTemp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_13:dciACS-EmStp:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_13EmStp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_13:dciACS-TpAlrm:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_13TpAlrm,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:AHUVFD_1:dciACS-GenAlmM:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSAHUVFD_1GenAlmM,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:AHUVFD_1:dciACS-GenAlm:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSAHUVFD_1GenAlm,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:AHUVFD_1:aciACS-RtTemp:aac:link_ve,aac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSAHUVFD_1RtTemp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:AHUVFD_1:aciACS-SpTemp:aac:link_ve,aac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSAHUVFD_1SpTemp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:AHUVFD_1:dciACS-EmStp:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSAHUVFD_1EmStp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:AHUVFD_1:dciACS-TpAlrm:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSAHUVFD_1TpAlrm,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:AHUVFD_2:dciACS-GenAlmM:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSAHUVFD_2GenAlmM,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:AHUVFD_2:dciACS-GenAlm:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSAHUVFD_2GenAlm,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:AHUVFD_2:aciACS-RtTemp:aac:link_ve,aac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSAHUVFD_2RtTemp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:AHUVFD_2:aciACS-SpTemp:aac:link_ve,aac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSAHUVFD_2SpTemp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:AHUVFD_2:dciACS-EmStp:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSAHUVFD_2EmStp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:AHUVFD_2:dciACS-TpAlrm:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSAHUVFD_2TpAlrm,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:AHUVFD_3:dciACS-GenAlmM:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSAHUVFD_3GenAlmM,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:AHUVFD_3:dciACS-GenAlm:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSAHUVFD_3GenAlm,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:AHUVFD_3:aciACS-RtTemp:aac:link_ve,aac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSAHUVFD_3RtTemp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:AHUVFD_3:aciACS-SpTemp:aac:link_ve,aac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSAHUVFD_3SpTemp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:AHUVFD_3:dciACS-EmStp:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSAHUVFD_3EmStp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:AHUVFD_3:dciACS-TpAlrm:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSAHUVFD_3TpAlrm,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:AHUVFD_4:dciACS-GenAlmM:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSAHUVFD_4GenAlmM,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:AHUVFD_4:dciACS-GenAlm:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSAHUVFD_4GenAlm,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:AHUVFD_4:aciACS-RtTemp:aac:link_ve,aac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSAHUVFD_4RtTemp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:AHUVFD_4:aciACS-SpTemp:aac:link_ve,aac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSAHUVFD_4SpTemp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:AHUVFD_4:dciACS-EmStp:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSAHUVFD_4EmStp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:AHUVFD_4:dciACS-TpAlrm:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSAHUVFD_4TpAlrm,
